delivery_id,delivery_partner,package_type,package_weight_kg,vehicle_type,delivery_mode,region,customer_address,latitude,longitude,warehouse_latitude,warehouse_longitude,weather_condition,distance_km,package_weight_kg,delivery_status,delivery_cost
250.99,blue dart,documents,0.14,ev bike,express,west,"House 343, Defence Colony, New Delhi",28.72187,77.19357,28.6417,77.22177,rainy,48.4,33.15,delayed,391.45
250.99,blue dart,furniture,43.13,ev van,express,north,"House 376, Shalimar Bagh, New Delhi",28.81573,77.03723,28.6417,77.22177,hot,239.3,11.67,delayed,1281.51
250.99,blue dart,documents,0.28,van,same day,north,"House 240, Tilak Nagar, New Delhi",28.63598,77.01095,28.6417,77.22177,rainy,90,33.7,delivered,651.1
250.99,blue dart,furniture,35.7,van,standard,east,"House 166, Saket, New Delhi",28.82122,77.21183,28.6417,77.22177,foggy,214.9,5.67,delivered,1091.51
250.99,blue dart,cosmetics,0.68,scooter,standard,east,"House 404, Nehru Place, New Delhi",28.45821,77.0736,28.6417,77.22177,clear,286.8,46.67,delivered,1574.01
250.99,blue dart,clothing,2.54,bike,express,central,"House 453, Kalkaji, New Delhi",28.75378,77.09874,28.6417,77.22177,stormy,81.8,45.51,delayed,595.53
250.99,blue dart,furniture,38.22,ev bike,express,north,"House 263, Rohini, New Delhi",28.49288,77.09352,28.6417,77.22177,rainy,46.8,4.72,delayed,298.16
250.99,blue dart,electronics,2.38,scooter,same day,central,"House 441, Saket, New Delhi",28.80578,76.9094,28.6417,77.22177,hot,233.4,18,delivered,1321
250.99,blue dart,pharmacy,0.75,ev bike,express,west,"House 160, Vasant Kunj, New Delhi",28.46835,77.18493,28.6417,77.22177,hot,51.6,23.45,delivered,378.35
250.99,blue dart,furniture,25.43,truck,standard,south,"House 54, Preet Vihar, New Delhi",28.7283,77.01629,28.6417,77.22177,rainy,75.2,28.25,delivered,460.75
250.99,blue dart,furniture,51.52,scooter,two day,central,"House 339, Connaught Place, New Delhi",28.60063,76.98012,28.6417,77.22177,cold,89.3,34.98,delivered,551.44
250.99,blue dart,groceries,5.28,bike,express,east,"House 150, Preet Vihar, New Delhi",28.87178,77.26385,28.6417,77.22177,rainy,256.4,33.53,delayed,1432.59
250.99,blue dart,cosmetics,1.96,ev van,two day,east,"House 316, Okhla, New Delhi",28.58116,77.2758,28.6417,77.22177,rainy,204.2,8.09,delivered,1045.27
